SampleID,YEAR,MONTH,REGION,SUB_REGION_NAME,rugosityMethod,rugosity,Acropora,Agaricia,Cladocora,Colpophyllia,Dendrogyra,Dichocoenia,Diploria,Eusmilia,Favia,Helioseris,Isophyllia,Madracis,Manicina,Meandrina,Montastraea,Mussa,Mycetophyllia,Oculina,Orbicella,Other,Phyllangia,Porites,Pseudodiploria,Scolymia,Siderastrea,Solenastrea,Stephanocoenia,Tubastraea
4097369-2021,2021,10,PRICO,SWPRICO,MEAN_RUG,0.434,0,503.597302370444,0,0,0,0,505.796417227957,0,0,0,0,0,0,0,91.8915851175014,0,0,0,6300.5033366825,0,0,1848.9450863621,179.856179418016,0,1073.65499732758,0,325.115569738374,0
4099203-2021,2021,12,PRICO,SWPRICO,MEAN_RUG,0.386666666666667,0,5292.44479396187,0,0,0,0,0,0,0,541.139334580842,0,0,0,0,204.203522483337,0,0,0,2008.85215242982,0,0,3503.56695913641,0,0,186.139364725195,0,530.143760293278,0
4290091-2019,2019,9,PRICO,SWPRICO,MEAN_RUG,0.276,0,1141.18353141649,0,0,0,168.860605130451,0,0,0,0,0,175.929188601028,0,185.353966561798,0,0,0,0,388.772090881737,0,0,125.663706143592,636.172512351933,0,914.674701092668,0,96.6039740978861,0
4117983-2021,2021,11,PRICO,SWPRICO,MEAN_RUG,0.373333333333333,0,1400.28638552131,0,0,0,179.856179418016,872.577359534565,76.9690200129499,0,0,0,0,0,214.413698607503,132.732289614169,0,0,0,5576.30339817698,0,0,436.681378848981,727.278699306037,0,926.691292992649,0,0,0
4420900-2019,2019,9,PRICO,SWPRICO,MEAN_RUG,0.116666667,0,808.174710135974,0,0,0,188.495559215388,0,0,0,0,0,0,0,163.362817986669,744.557458900781,0,0,0,0,0,0,281.172542496286,273.318560862312,0,326.411476707979,0,23.5619449019234,0
4126512-2021,2021,12,PRICO,SWPRICO,MEAN_RUG,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2566310325652,0,0,0,11.7809724509617,0,0,0,49.6371639267187,0,0,0,0,0,0
4461505-2019,2019,9,PRICO,SWPRICO,MEAN_RUG,0.051333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42477796076938,0,0,15.707963267949,0,0,0
4139820-2021,2021,9,PRICO,SWPRICO,MEAN_RUG,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.761041672824,0,0,166.504410640259,0,0,0
4152275-2021,2021,10,PRICO,SWPRICO,MEAN_RUG,0.347333333333333,0,281.612365467789,0,1257.6737870116,0,0,0,0,0,0,0,97.9705669021977,0,148.440252882118,829.773159629404,0,0,0,2503.69226527839,0,0,965.529232172653,645.188883267736,0,535.013228906342,352.486695732775,92.0486647501809,0
4496527-2019,2019,9,PRICO,SWPRICO,MEAN_RUG,0.474,1528.38482597143,42.4115008234622,0,0,0,125.506626510912,0,0,11.7809724509617,0,0,0,0,0,928.340629135784,0,0,0,0,0,0,2146.02194166719,190.066355542182,0,1935.84939314203,0,75.398223686155,0
4166265-2021,2021,10,PRICO,SWPRICO,MEAN_RUG,0.227333333333333,0,393.405940045782,0,0,0,0,530.143760293278,0,0,0,0,0,0,0,212.057504117311,0,0,0,0,0,0,260.909269880632,3874.1806444804,0,1201.2664909164,0,20.7816354034965,0
4187943-2021,2021,9,PRICO,SWPRICO,MEAN_RUG,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3429173528852,0,0,0,0,0,0,19.6349540849362,21.9911485751286,0,215.199096770901,0,0,0
4207009-2021,2021,10,PRICO,SWPRICO,MEAN_RUG,0.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.557495074005,0,0,0,0,0,0,528.572963966483,701.360559913921,0,1170.12545373769,165.719012476862,0,0
4214381-2021,2021,11,PRICO,SWPRICO,MEAN_RUG,0.294666666666667,0,1448.03859385588,0,0,0,0,0,0,0,0,0,71.6283125018473,0,0,336.464573199467,0,0,0,3129.37971214896,0,0,680.15480950219,0,0,1361.01647735144,0,0,0
4255099-2021,2021,10,PRICO,SWPRICO,MEAN_RUG,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.554174282461,0,0,0,0,0,0,446.106156809751,0,0,153.702420576881,0,119.380520836412,0
4249874-2021,2021,9,PRICO,SWPRICO,MEAN_RUG,0.144666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1150383789754,0,0,565.486677646163,0,0,0
4268962-2021,2021,10,PRICO,SWPRICO,MEAN_RUG,0.192666666666667,0,0,0,0,0,23.5619449019234,0,0,0,0,0,0,0,0,51.1294204371739,0,0,0,0,0,0,439.822971502571,660.519855417254,0,345.693001619387,18.8495559215388,28.2743338823081,0
4620341-2019,2019,9,PRICO,SWPRICO,MEAN_RUG,0.133333333,1140.39813325309,0,0,0,0,142.942465738336,0,0,0,0,0,0,0,267.035375555132,0,0,0,0,0,0,0,70.6858347057703,125.663706143592,0,110.74114103904,0,0,0
4317488-2021,2021,5,PRICO,SWPRICO,MEAN_RUG,0.234,0,0,0,0,0,86.3937979737193,0,0,0,0,0,0,0,94.2477796076938,2694.85817824932,0,0,0,0,0,0,1115.1083123917,325.154839646544,0,1808.61489067164,0,47.1238898038469,0
4337578-2021,2021,10,PRICO,SWPRICO,MEAN_RUG,0.385333333333333,0,749.269847881166,0,0,0,0,0,0,0,0,0,0,0,0,537.212343763855,0,0,0,3560.99527284403,0,0,1420.67532184311,0,0,565.895084691129,0,0,0
4407255-2021,2021,8,PRICO,SWPRICO,MEAN_RUG,0.33,0,1142.79359765146,0,0,0,211.429185586593,0,0,0,169.646003293849,0,0,0,112.31193736583501,776.758783600076,0,0,0,723.35170848905,0,0,1372.87598961874,180.170338683375,0,698.218967260332,0,43.9822971502571,0
4505031-2021,2021,12,PRICO,SWPRICO,MEAN_RUG,0.837333333333333,0,428.827397215007,0,0,0,0,0,0,0,0,0,0,0,0,265.464579228338,0,0,0,9242.39279926522,0,0,2001.9799185001,3824.10365758218,0,2119.71110319337,37.6991118430775,537.997741927252,0
4764747-2019,2019,9,PRICO,SWPRICO,MEAN_RUG,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.488875430204,0,0,21.9911485751286,0,9.42477796076938,0
4771183-2019,2019,9,PRICO,SWPRICO,MEAN_RUG,0.051333333,0,0,0,0,0,0,0,0,186.924762888593,0,0,0,0,0,0,0,0,0,0,0,0,262.322986574748,0,0,51.8362787842316,0,0,0
4537643-2021,2021,5,PRICO,SWPRICO,MEAN_RUG,0.578666666666667,0,1465.55297289964,0,2756.74755352504,0,0,0,0,0,0,0,0,0,0,134.303085940964,0,0,0,13576.3926524883,0,0,4568.54330675845,12.566370614359201,0,4513.91886449416,0,294.367231641364,0
4771902-2019,2019,12,PRICO,SWPRICO,MEAN_RUG,0.396,0,393.484479862122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802.69334608379,1696.06733385679,0,882.787535658732,0,0,0
4565187-2021,2021,5,PRICO,SWPRICO,MEAN_RUG,0.376,0,1888.41134407282,0,0,0,0,0,0,0,0,0,0,0,0,296.880505764235,0,0,0,15406.1347537553,0,0,3202.30393162042,665.232244397639,0,86.3937979737193,0,0,0
